Mota;Galdera;Irudia;Zuzena;Oker1;Oker2;Jatorria;Esteka;Egilea;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/0/02/Tuber_brumale_-_Vue_sur_la_tranche_coup%C3%A9e.jpg;Boilur beltz;Udako onddozuri;Esneki argi;Wikipedia;https://eu.wikipedia.org/wiki/Boilur_beltz;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/c/c9/2006_Leccinum_albostipitatum_crop.jpg;Leccinum leucopodium;Gibeloliba;Lanperna txar;Wikipedia;https://eu.wikipedia.org/wiki/Leccinum_leucopodium;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/d/d4/Lactarius_sanguifluus_64507.jpg;Esneardotsu;Esnegorri;Amanita proxima;Wikipedia;https://eu.wikipedia.org/wiki/Esneardotsu;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/f/fa/Tricholoma_terreum_20061105wa.jpg;Ziza arre;Gibelokre konpotausaidun;Errotari;Wikipedia;https://eu.wikipedia.org/wiki/Ziza_arre;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/5/53/Russula.olivacea.-.lindsey.jpg;Gibeloliba;Gibelmore hankamorea;Boletus rhodoxanthus;Wikipedia;https://eu.wikipedia.org/wiki/Gibeloliba;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/8/8c/Anh%C3%A4ngsel-R%C3%B6hrling_Boletus_appendiculatus.jpg;Onddo hankazorrotz;Gibelilun orrizabalara;Quelet onddo;Wikipedia;https://eu.wikipedia.org/wiki/Onddo_hankazorrotz;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/3/3a/Agaricus_campestris.jpg;Barrengorri;Armillaria;Kukumelo ezkatagris;Wikipedia;https://eu.wikipedia.org/wiki/Barrengorri;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/6/6e/Dickbl%C3%A4ttrige_Schw%C3%A4rz-T%C3%A4ubling_Russula_nigricans.jpg;Gibelilun orrizabalara;Lanperna txar;Russula decipiens;Wikipedia;https://eu.wikipedia.org/wiki/Gibelilun_orrizabalara;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/d/df/Amanita_verna-02.jpg;Hiltzaile goiztiar;Zaldun-ziza orrihori;Orribeltz berdexka;Wikipedia;https://eu.wikipedia.org/wiki/Hiltzaile_goiztiar;;
Perretxikoak;Nola deitzen da argaziko perretxikoa?;https://upload.wikimedia.org/wikipedia/commons/9/90/Amanita_ovoidea_1.jpg;kukuma;Onddozuri mingots;Quelet onddo;Wikipedia;https://eu.wikipedia.org/wiki/Kukuma;;
